City Number,City,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
1.0,Nur-Sultan,0.0,1587141338.0,65.0,51.18,71.45,44.6,15.01027
2.0,Tezu,45.0,1587141538.0,66.0,27.92,96.17,69.87,6.30834
3.0,Bluff,98.0,1587141538.0,94.0,-46.6,168.33,46.99,4.45163
4.0,Vaini,20.0,1587141538.0,83.0,-21.2,-175.2,75.2,13.019340000000001
5.0,Mahébourg,40.0,1587141538.0,69.0,-20.41,57.7,77.0,33.532630000000005
6.0,Puerto Ayora,90.0,1587141538.0,88.0,-0.74,-90.35,78.8,7.51632
7.0,Butaritari,89.0,1587141538.0,80.0,3.07,172.79,82.4,35.5683
8.0,Bredasdorp,94.0,1587141539.0,45.0,-34.53,20.04,64.4,15.50241
9.0,Hobart,90.0,1587141537.0,53.0,-42.88,147.33,50.0,43.53202
10.0,Tasiilaq,100.0,1587141539.0,93.0,65.61,-37.64,34.93,47.78232
11.0,Qaanaaq,14.0,1587141539.0,85.0,77.48,-69.36,21.31,8.008460000000001
12.0,Tuktoyaktuk,90.0,1587141539.0,85.0,69.45,-133.04,14.0,10.513900000000001
13.0,Rikitea,53.0,1587141539.0,65.0,-23.12,-134.97,76.86,11.654770000000001
14.0,Hithadhoo,36.0,1587141450.0,72.0,-0.6,73.08,84.81,16.26299
15.0,Artyom,0.0,1587141540.0,76.0,40.47,50.33,53.6,41.02658
16.0,Cape Town,42.0,1587141002.0,63.0,-33.93,18.42,66.0,25.52417
17.0,Chifeng,0.0,1587141540.0,43.0,42.27,118.96,46.69,21.027800000000003
18.0,Senanga,59.0,1587141540.0,40.0,-16.12,23.27,75.63,10.55864
19.0,Castro,5.0,1587141296.0,26.0,-24.79,-50.01,73.47,3.75816
20.0,Plettenberg Bay,80.0,1587141541.0,82.0,-34.05,23.37,61.05,1.29746
21.0,Zhangye,79.0,1587141541.0,38.0,38.93,100.45,47.55,11.90084
22.0,Ushuaia,22.0,1587141541.0,50.0,-54.8,-68.3,55.4,25.52417
23.0,Kavaratti,0.0,1587141541.0,68.0,10.57,72.64,84.97,16.62091
24.0,Bonoua,40.0,1587141541.0,79.0,5.27,-3.6,87.8,28.52175
25.0,Mataura,100.0,1587141542.0,94.0,-46.19,168.86,46.99,4.45163
26.0,Hongjiang,100.0,1587141542.0,84.0,27.11,110.0,63.52,8.20979
27.0,Khani,46.0,1587141542.0,76.0,41.96,42.96,57.2,18.00785
28.0,Bridlington,0.0,1587141542.0,61.0,54.08,-0.19,48.2,38.52114
29.0,Rawson,51.0,1587141542.0,30.0,-43.3,-65.1,83.25,43.845200000000006
30.0,Isangel,75.0,1587141542.0,88.0,-19.55,169.27,73.4,33.42078
31.0,Mitchell,1.0,1587141543.0,52.0,43.71,-98.03,42.8,10.513900000000001
32.0,Arraial do Cabo,75.0,1587141543.0,69.0,-22.97,-42.03,77.0,20.51329
33.0,Mar del Plata,31.0,1587141543.0,49.0,-38.0,-57.56,70.0,38.52114
34.0,Alekseyevsk,100.0,1587141543.0,88.0,57.84,108.35,25.74,32.235170000000004
35.0,Carnarvon,36.0,1587141543.0,88.0,-24.87,113.63,77.0,10.513900000000001
36.0,Leningradskiy,99.0,1587141543.0,94.0,69.38,178.42,9.16,7.11366
37.0,Yellowknife,75.0,1587141543.0,68.0,62.46,-114.35,28.4,41.02658
38.0,Mitsamiouli,9.0,1587141544.0,71.0,-11.38,43.28,83.97,26.26238
39.0,New Norfolk,66.0,1587141544.0,73.0,-42.78,147.06,48.99,15.659
40.0,Mayo,1.0,1587141544.0,50.0,38.89,-76.51,57.0,36.03807
41.0,Dikson,2.0,1587141544.0,90.0,73.51,80.55,7.57,11.31922
42.0,Birao,70.0,1587141544.0,9.0,10.28,22.79,87.03,12.70616
43.0,Bilibino,12.0,1587141545.0,85.0,68.05,166.44,-2.24,10.64812
44.0,Hilo,20.0,1587141545.0,83.0,19.73,-155.09,69.8,7.51632
45.0,Ponta do Sol,41.0,1587141545.0,66.0,32.67,-17.1,64.0,13.399630000000002
46.0,Waingapu,50.0,1587141545.0,78.0,-9.66,120.26,79.34,5.99516
47.0,Guarapari,75.0,1587141545.0,74.0,-20.67,-40.5,82.0,33.532630000000005
48.0,Ilulissat,40.0,1587141545.0,55.0,69.22,-51.1,33.8,20.51329
49.0,Hasaki,75.0,1587141545.0,76.0,35.73,140.83,57.2,31.02719
50.0,Salalah,20.0,1587141546.0,74.0,17.02,54.09,82.4,15.50241
51.0,Khalkhāl,50.0,1587141546.0,45.0,37.62,48.53,44.78,3.19891
52.0,Dabakala,6.0,1587141546.0,40.0,8.37,-4.43,92.28,17.06831
53.0,Konganāpuram,53.0,1587141546.0,53.0,11.58,77.92,85.08,7.69528
54.0,Hofn,90.0,1587141546.0,93.0,64.25,-15.21,46.4,38.52114
55.0,Touros,75.0,1587141546.0,74.0,-5.2,-35.46,86.0,25.52417
56.0,Inhambane,20.0,1587141547.0,83.0,-23.86,35.38,77.0,26.016310000000004
57.0,Vallenar,0.0,1587141547.0,22.0,-28.57,-70.76,84.22,21.564680000000003
58.0,Carutapera,100.0,1587141547.0,79.0,-1.2,-46.02,81.37,8.20979
59.0,Atuona,95.0,1587141547.0,74.0,-9.8,-139.03,82.09,29.975800000000003
60.0,Punta Arenas,4.0,1587141547.0,57.0,-53.15,-70.92,51.8,31.02719
61.0,Clyde River,40.0,1587141547.0,85.0,70.47,-68.59,10.4,51.54048
62.0,Bo Rai,64.0,1587141548.0,10.0,12.57,102.54,80.01,4.60822
63.0,Hay River,90.0,1587141548.0,100.0,60.82,-115.8,33.8,23.018729999999998
64.0,Albany,90.0,1587141548.0,23.0,42.6,-73.97,48.0,8.948
65.0,Nikel,90.0,1587141548.0,93.0,69.41,30.22,33.8,43.53202
66.0,Aswān,25.0,1587141548.0,20.0,24.09,32.91,87.8,23.018729999999998
67.0,Ribeira Grande,20.0,1587141549.0,68.0,38.52,-28.7,64.4,25.52417
68.0,Ciudad Bolivar,14.0,1587141549.0,25.0,8.12,-63.55,98.94,19.4619
69.0,Mirny,14.0,1587141549.0,56.0,62.54,113.96,12.2,20.02115
70.0,Umm Kaddadah,0.0,1587141549.0,10.0,13.6,26.69,81.99,25.16625
71.0,Maragogi,12.0,1587141479.0,68.0,-9.01,-35.22,85.08,24.964920000000003
72.0,Bengkulu,80.0,1587141520.0,83.0,-3.8,102.27,77.63,8.45586
73.0,Port Elizabeth,13.0,1587140895.0,88.0,-33.92,25.57,66.2,23.018729999999998
74.0,Clarence Town,94.0,1587141550.0,59.0,-32.58,151.78,60.8,33.532630000000005
75.0,Jamestown,90.0,1587141550.0,55.0,42.1,-79.24,35.01,25.52417
